City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
532,nova vicosa,-17.8919,-39.3719,24.34,61,64,3.8,BR,1728236270
533,carroll,39.5501,-77.0164,23.64,56,0,4.63,US,1728236270
534,revda,56.801,59.9303,3.85,68,16,3.44,RU,1728236271
535,akureyri,65.6835,-18.0878,4.96,70,75,2.57,IS,1728236271
536,torbat-e jam,35.244,60.6225,17.59,50,100,6.03,IR,1728236271
537,tazovsky,67.4667,78.7,-0.24,97,100,10.56,RU,1728236272
538,kichmengskiy gorodok,59.9816,45.7854,2.73,84,63,1.26,RU,1728236272
539,kimbe,-5.5502,150.1429,23.27,94,70,1.45,PG,1728236272
540,twentynine palms,34.1356,-116.0542,36.8,11,0,2.55,US,1728236272
541,markovo,57.3206,107.0881,1.71,97,100,1.04,RU,1728236272
542,el granada,37.5027,-122.4694,30.56,46,0,1.79,US,1728236273
543,mossel bay,-34.1831,22.146,17.96,92,100,2.86,ZA,1728236181
544,bairnsdale,-37.8333,147.6167,8.92,88,55,2.64,AU,1728236273
545,amal,59.051,12.7049,10.02,83,87,5.01,SE,1728236273
546,konstantinovka,49.6167,127.9833,4.64,50,34,2.82,RU,1728236273
547,kargasok,59.0556,80.8572,8.15,71,100,5.01,RU,1728236273
548,ulladulla,-35.35,150.4667,13.54,66,19,3.11,AU,1728236273
549,woolgoolga,-30.1106,153.2007,11.93,61,0,2.49,AU,1728236274
550,malvik,63.4333,10.6833,5.77,93,75,1.03,NO,1728236274
551,bikenibeu village,1.3673,173.1241,27.98,78,20,3.6,KI,1728236274
552,qulsary,46.9531,54.0198,16.26,30,79,1.47,KZ,1728236274
553,aleksandrovsk-sakhalinskiy,50.8975,142.1561,5.6,82,18,2.81,RU,1728236274
554,verdal,63.7933,11.4817,5.96,83,100,0.84,NO,1728236274
555,dryden,49.7833,-92.7503,5.16,81,100,7.2,CA,1728236275
556,kolokani,13.5728,-8.0339,27.32,71,100,2.67,ML,1728236275
557,suva,-18.1416,178.4415,21.71,100,40,0.0,FJ,1728236275
558,cuyo,10.8525,121.0086,27.17,77,92,1.06,PH,1728236275
559,saint-philippe,-21.3585,55.7679,19.43,79,4,3.1,RE,1728236275
560,gumushkhane,40.4603,39.4814,17.01,29,11,1.35,TR,1728236275
561,tsetserleg,47.475,101.4542,0.65,57,0,2.51,MN,1728236275
562,cill airne,52.05,-9.5167,12.31,95,66,3.68,IE,1728236275
563,semporna,4.4818,118.6112,25.73,89,100,1.06,MY,1728236276
564,ascension,30.2169,-90.9001,31.15,63,40,3.09,US,1728236276
565,alice springs,-23.7,133.8833,16.75,42,67,2.06,AU,1728236276
566,pontes e lacerda,-15.2261,-59.3353,38.84,23,32,5.94,BR,1728236276
567,forest,37.3638,-79.2897,23.43,67,75,2.06,US,1728236270
568,nueva gerona,21.8833,-82.8,31.48,61,80,3.44,CU,1728236277
569,darlowo,54.421,16.4107,10.96,76,27,3.85,PL,1728236277
